Feature,Importance
Weight (inc. batteries),0.33069819629781594
Low resolution,0.20587499320970393
Dimensions,0.12215871527102956
Zoom tele (T),0.08867112217046559
Brand_Panasonic,0.03806062496867422
Max resolution,0.036920518867479095
Brand_Kodak,0.0292289765470803
Zoom_Ratio,0.02620997615080986
Macro focus range,0.025533856097251822
Storage included,0.02324243063462662
Megapixels,0.018162361389148708
Brand_Canon,0.015724512928329604
Effective pixels,0.015309108144130426
Normal focus range,0.013567682298526442
Zoom wide (W),0.010636925024927808
